uuid;name;shortname;synonym-1;description;reference-term-source;reference-term-code;reference-term-relationship;class;datatype;is-set;member-of;member-of-sort-weight;answer-of;answer-of-sort-weight
;Excision of Upper Eyelid, Right ;;;Excision:(Cutting out or off, without replacement, a portion of a body part) of Upper Eyelid, Right ;ICD10 PCS-BD;08BN0ZZ;SAME-AS;Procedure;N/A;;;;;
;Excision of Upper Eyelid, Left;;;Excision:(Cutting out or off, without replacement, a portion of a body part) of Upper Eyelid, Left;ICD10 PCS-BD;08BP0ZZ;SAME-AS;Procedure;N/A;;;;;
;Excision of Lower Eyelid, Right ;;;Excision:(Cutting out or off, without replacement, a portion of a body part) of Lower Eyelid, Right ;ICD10 PCS-BD;08BQ0ZZ;SAME-AS;Procedure;N/A;;;;;
;Excision of Lower Eyelid, Left;;;Excision:(Cutting out or off, without replacement, a portion of a body part) of Lower Eyelid, Left;ICD10 PCS-BD;08BR0ZZ;SAME-AS;Procedure;N/A;;;;;
;Extirpation of upper eyelid Right ;;Excision of upper eyelid Right (for Growth/Chalazion);Extirpation:(Taking or cutting out solid matter from a body part) of upper eyelid Right ;ICD10 PCS-BD;08CN0ZZ;SAME-AS;Procedure;N/A;;;;;
;Extirpation of upper eyelid Left ;;Excision of upper eyelid Left (for Growth/Chalazion);Extirpation:(Taking or cutting out solid matter from a body part) of upper eyelid Left ;ICD10 PCS-BD;08CP0ZZ;SAME-AS;Procedure;N/A;;;;;
;Extirpation of lower eyelid Right ;;Excision of lower eyelid Right (for Growth/Chalazion);Extirpation:(Taking or cutting out solid matter from a body part) of lower eyelid Right ;ICD10 PCS-BD;08CQ0ZZ;SAME-AS;Procedure;N/A;;;;;
;Extirpation of lower eyelid Left ;;Excision of lower eyelid Left (for Growth/Chalazion);Extirpation:(Taking or cutting out solid matter from a body part) of lower eyelid Left ;ICD10 PCS-BD;08CR0ZZ;SAME-AS;Procedure;N/A;;;;;
;Extraction of lens Right eye;;;Extraction of lens Right eye;ICD10 PCS-BD;08DJ3ZZ;SAME-AS;Procedure;N/A;;;;;
;Extraction of lens Left eye;;;Extraction of lens Left eye;ICD10 PCS-BD;08DK3ZZ;SAME-AS;Procedure;N/A;;;;;
;Insertion in Eye Right;;;Insertion:(Putting in a nonbiological appliance that monitors, assists, performs, or prevents a physiological function but does not physically take the place of a body part) in Eye Right;ICD10 PCS-BD;08H005Z;SAME-AS;Procedure;N/A;;;;;
;Insertion in Eye Left ;;;Insertion:(Putting in a nonbiological appliance that monitors, assists, performs, or prevents a physiological function but does not physically take the place of a body part) in Eye Left ;ICD10 PCS-BD;08H105Z;SAME-AS;Procedure;N/A;;;;;
;Inspection of Eye Right ;;;Inspection:(Visually and/or manually exploring a body part) of Eye Right ;ICD10 PCS-BD;08J0XZZ;SAME-AS;Procedure;N/A;;;;;
;Inspection of Eye Leftt ;;;Inspection:(Visually and/or manually exploring a body part) of Eye Leftt ;ICD10 PCS-BD;08J1XZZ;SAME-AS;Procedure;N/A;;;;;
;Inspection of Lens Right;;;Inspection:(Visually and/or manually exploring a body part) of Lens Right;ICD10 PCS-BD;08JJXZZ;SAME-AS;Procedure;N/A;;;;;
;Inspection of Lens Left;;;Inspection:(Visually and/or manually exploring a body part) of Lens Left;ICD10 PCS-BD;08JKXZZ;SAME-AS;Procedure;N/A;;;;;
;Replacement of Lens Right;;Lens Right Replacement (Cataract Surgery Right eye);Replacement:(Putting in or on biological or synthetic material that physically takes the place and/or function of all or a portion of a body part) of Lens Right;ICD10 PCS-BD;08RJ3JZ;SAME-AS;Procedure;N/A;;;;;
;Replacement of Lens Left;;Lens Left Replacement (Cataract Surgery Left eye);Replacement:(Putting in or on biological or synthetic material that physically takes the place and/or function of all or a portion of a body part) of Lens Left;ICD10 PCS-BD;08RK3JZ;SAME-AS;Procedure;N/A;;;;;
;Excision of Mastoid Sinus, Right ;;Mastoid Sinusectomy, Right;Excision: ( Cutting out or off, without replacement, a portion of a body part) of Mastoid Sinus, Right ;ICD10 PCS-BD;09BB0ZZ;SAME-AS;Procedure;N/A;;;;;
;Excision of Mastoid Sinus, Left;;Mastoid Sinusectomy, Left;Excision: ( Cutting out or off, without replacement, a portion of a body part) of Mastoid Sinus, Left;ICD10 PCS-BD;09BC0ZZ;SAME-AS;Procedure;N/A;;;;;
;Excision of Nasal Septum ;;;Excision: ( Cutting out or off, without replacement, a portion of a body part) of Nasal Septum ;ICD10 PCS-BD;09BM0ZZ;SAME-AS;Procedure;N/A;;;;;
;Excision of Accessory Sinus ;;;Excision: ( Cutting out or off, without replacement, a portion of a body part) of Accessory Sinus ;ICD10 PCS-BD;09BP0ZZ;SAME-AS;Procedure;N/A;;;;;
;Excision of Maxillary Sinus, Right ;;Maxillary Sinusectomy, Right ;Excision: ( Cutting out or off, without replacement, a portion of a body part) of Maxillary Sinus, Right ;ICD10 PCS-BD;09BQ0ZZ;SAME-AS;Procedure;N/A;;;;;
;Excision of Maxillary Sinus, Left;;Maxillary Sinusectomy, Left;Excision: ( Cutting out or off, without replacement, a portion of a body part) of Maxillary Sinus, Left;ICD10 PCS-BD;09BR0ZZ;SAME-AS;Procedure;N/A;;;;;
;Excision of Frontal Sinus, Right;;Frontal Sinusectomy, Right;Excision: ( Cutting out or off, without replacement, a portion of a body part) of Frontal Sinus, Right;ICD10 PCS-BD;09BS0ZZ;SAME-AS;Procedure;N/A;;;;;
;Excision of Frontal Sinus,Left;;Frontal Sinusectomy,Left;Excision: ( Cutting out or off, without replacement, a portion of a body part) of Frontal Sinus,Left;ICD10 PCS-BD;09BT0ZZ;SAME-AS;Procedure;N/A;;;;;
;Excision of Ethmoid Sinus, Right;;Ethmoid Sinusectomy,Right;Excision: ( Cutting out or off, without replacement, a portion of a body part) of Ethmoid Sinus, Right;ICD10 PCS-BD;09BU0ZZ;SAME-AS;Procedure;N/A;;;;;
;Excision of Ethmoid Sinus, Left;;Ethmoid Sinusectomy,Left;Excision: ( Cutting out or off, without replacement, a portion of a body part) of Ethmoid Sinus, Left;ICD10 PCS-BD;09BV0ZZ;SAME-AS;Procedure;N/A;;;;;
;Excision of Sphenoid Sinus, Right ;;Sphenoid Sinusectomy, Right ;Excision: ( Cutting out or off, without replacement, a portion of a body part) of Sphenoid Sinus, Right ;ICD10 PCS-BD;09BW0ZZ;SAME-AS;Procedure;N/A;;;;;
;Excision of Sphenoid Sinus, Left;;Sphenoid Sinusectomy, Left;Excision: ( Cutting out or off, without replacement, a portion of a body part) of Sphenoid Sinus, Left;ICD10 PCS-BD;09BX0ZZ;SAME-AS;Procedure;N/A;;;;;
;Extirpation from Nasopharynx;;;Extirpation:(Taking or cutting out solid matter from a body part) from Nasopharynx;ICD10 PCS-BD;09CN7ZZ;SAME-AS;Procedure;N/A;;;;;
;Inspection of Tympanic Membrane, Right;;;Inspection:(Visually and/or manually exploring a body part) of Tympanic Membrane, Right;ICD10 PCS-BD;09J77ZZ;SAME-AS;Procedure;N/A;;;;;
;Inspection of Tympanic Membrane, Left ;;;Inspection:(Visually and/or manually exploring a body part) of Tympanic Membrane, Left ;ICD10 PCS-BD;09J87ZZ;SAME-AS;Procedure;N/A;;;;;
;Inspection of Ear Right;;;Inspection:(Visually and/or manually exploring a body part) of Ear Right;ICD10 PCS-BD;09JH7ZZ;SAME-AS;Procedure;N/A;;;;;
;Inspection of Ear Left;;;Inspection:(Visually and/or manually exploring a body part) of Ear Left;ICD10 PCS-BD;09JJ7ZZ;SAME-AS;Procedure;N/A;;;;;
;Inspection of Inner Ear, Right;;;Inspection:(Visually and/or manually exploring a body part) of Inner Ear, Right;ICD10 PCS-BD;09JDXZZ;SAME-AS;Procedure;N/A;;;;;
;Inspection of Inner Ear, Left;;;Inspection:(Visually and/or manually exploring a body part) of Inner Ear, Left;ICD10 PCS-BD;09JEXZZ;SAME-AS;Procedure;N/A;;;;;
;Inspection of Nose;;;Inspection:(Visually and/or manually exploring a body part) of Nose;ICD10 PCS-BD;09JKXZZ;SAME-AS;Procedure;N/A;;;;;
;Inspection of Sinus;;;Inspection:(Visually and/or manually exploring a body part) of Sinus;ICD10 PCS-BD;09JY4ZZ;SAME-AS;Procedure;N/A;;;;;
;Bypass of Trachea;;Tracheostomy ;Bypass:(Altering the route of passage of the contents of a tubular body part) of Trachea;ICD10 PCS-BD;0B113F4;SAME-AS;Procedure;N/A;;;;;
;Drainage from Lung, Right;;;Drainage: (Taking or letting out fluids and/or gases from a body part) from Lung, Right;ICD10 PCS-BD;0B9K30Z;SAME-AS;Procedure;N/A;;;;;
;Drainage from Lung, Leftt;;;Drainage: (Taking or letting out fluids and/or gases from a body part) from Lung, Leftt;ICD10 PCS-BD;0B9L30Z;SAME-AS;Procedure;N/A;;;;;
;Drainage from Lungs, Bilateral ;;;Drainage: (Taking or letting out fluids and/or gases from a body part) from Lungs, Bilateral ;ICD10 PCS-BD;0B9M30Z;SAME-AS;Procedure;N/A;;;;;
;Drainage from Lung, Right for Diagnostic purpose;;Diagnostic aspiration of pleural fluid from Lung, Right;Drainage: (Taking or letting out fluids and/or gases from a body part) from Lung, Right for Diagnostic purpose;ICD10 PCS-BD;0B9K3ZX;SAME-AS;Procedure;N/A;;;;;
;Drainage from Lung, Left for Diagnostic purpose;;Diagnostic aspiration of pleural fluid from Lung, Leftt;Drainage: (Taking or letting out fluids and/or gases from a body part) from Lung, Left for Diagnostic purpose;ICD10 PCS-BD;0B9L3ZX;SAME-AS;Procedure;N/A;;;;;
;Drainage from Lung, Bilateral for Diagnostic purpose;;Diagnostic aspiration of pleural fluid from Lungs, Bilateral;Drainage: (Taking or letting out fluids and/or gases from a body part) from Lung, Bilateral for Diagnostic purpose;ICD10 PCS-BD;0B9M3ZX;SAME-AS;Procedure;N/A;;;;;
;Removal of Tracheostomy tube;;;Removal: (Taking out or off a device from a body part) of Tracheostomy tube;ICD10 PCS-BD;0BP1XZF;SAME-AS;Procedure;N/A;;;;;
;Removal from Lung, Right;;;Removal: (Taking out or off a device from a body part) from Lung, Right;ICD10 PCS-BD;0BPK30Z;SAME-AS;Procedure;N/A;;;;;
;Removal from Lung, Left;;;Removal: (Taking out or off a device from a body part) from Lung, Left;ICD10 PCS-BD;0BPL30Z;SAME-AS;Procedure;N/A;;;;;
;Excision of Prepuce;;Circumcision;Excision: ( Cutting out or off, without replacement, a portion of a body part) of Prepuce;ICD10 PCS-BD;0BVT0ZZ;SAME-AS;Procedure;N/A;;;;;
;Extirpation of Lip, Upper ;;Excision of Lip, Upper;Extirpation:(Taking or cutting out solid matter from a body part) of Lip, Upper ;ICD10 PCS-BD;0CC00ZZ;SAME-AS;Procedure;N/A;;;;;
;Extirpation of Lip, Lower;;Excision of Lip, Lower;Extirpation:(Taking or cutting out solid matter from a body part) of Lip, Lower;ICD10 PCS-BD;0CC10ZZ;SAME-AS;Procedure;N/A;;;;;
;Extirpation of Tonsils;;Excision of Tonsils;Extirpation:(Taking or cutting out solid matter from a body part) of Tonsils;ICD10 PCS-BD;0CCP0ZZ;SAME-AS;Procedure;N/A;;;;;
;Extraction of Upper Tooth Single ;;;Extraction:(Pulling or stripping out or off all or a portion of a body part by the use of force) of Upper Tooth Single ;ICD10 PCS-BD;0CDWXZ0;SAME-AS;Procedure;N/A;;;;;
;Extraction of Upper Tooth Multiple ;;;Extraction:(Pulling or stripping out or off all or a portion of a body part by the use of force) of Upper Tooth Multiple ;ICD10 PCS-BD;0CDWXZ1;SAME-AS;Procedure;N/A;;;;;
;Extraction of Upper Tooth All ;;;Extraction:(Pulling or stripping out or off all or a portion of a body part by the use of force) of Upper Tooth All ;ICD10 PCS-BD;0CDWXZ2;SAME-AS;Procedure;N/A;;;;;
;Extraction of Lower Tooth Single ;;;Extraction:(Pulling or stripping out or off all or a portion of a body part by the use of force) of Lower Tooth Single ;ICD10 PCS-BD;0CDXXZ0;SAME-AS;Procedure;N/A;;;;;
;Extraction of Lower Tooth Multiple ;;;Extraction:(Pulling or stripping out or off all or a portion of a body part by the use of force) of Lower Tooth Multiple ;ICD10 PCS-BD;0CDXXZ1;SAME-AS;Procedure;N/A;;;;;
;Extraction of Lower Tooth All ;;;Extraction:(Pulling or stripping out or off all or a portion of a body part by the use of force) of Lower Tooth All ;ICD10 PCS-BD;0CDXXZ2;SAME-AS;Procedure;N/A;;;;;
;Insertion of airway tube;;;Insertion: (Putting in a nonbiological appliance that monitors, assists, performs, or prevents a physiological function but does not physically take the place of a body part) of airway tube;ICD10 PCS-BD;0CHY7BZ;SAME-AS;Procedure;N/A;;;;;
;Inspection of Mouth and Throat ;;;Inspection: (Visually and/or manually exploring a body part) of Mouth and Throat ;ICD10 PCS-BD;0CJY7ZZ;SAME-AS;Procedure;N/A;;;;;
;Bypass of Stomach with Jejunum;;Gastrojejunostomy;Bypass:( Altering the route of passage of the contents of a tubular body part) of Stomach with Jejunum;ICD10 PCS-BD;0D160ZA;SAME-AS;Procedure;N/A;;;;;
;Drainage of Peritoneum for Diagnostic purpose;;;Drainage: (Taking or letting out fluids and/or gases from a body part) of Peritoneum for Diagnostic purpose;ICD10 PCS-BD;0D9W3ZX;SAME-AS;Procedure;N/A;;;;;
;Drainage of Peritoneum not for Diagnostic purpose;;;Drainage: (Taking or letting out fluids and/or gases from a body part) of Peritoneum not for Diagnostic purpose;ICD10 PCS-BD;0D9W3ZZ;SAME-AS;Procedure;N/A;;;;;
;Excision of Appendix;;Appendectomy;Excision:(Cutting out or off, without replacement, a portion of a body part) of Appendix;ICD10 PCS-BD;0DBJ0ZZ;SAME-AS;Procedure;N/A;;;;;
;Excision of Appendix for Diagnostic purpose;;Appendectomy for diagnosis;Excision:(Cutting out or off, without replacement, a portion of a body part) of Appendix for Diagnostic purpose;ICD10 PCS-BD;0DBJ0ZX;SAME-AS;Procedure;N/A;;;;;
;Insertion of N-G tube;;;Insertion:( Putting in a nonbiological appliance that monitors, assists, performs, or prevents a physiological function but does not physically take the place of a body part) of N-G tube;ICD10 PCS-BD;0DH63UZ;SAME-AS;Procedure;N/A;;;;;
;Inspection of Lower Intestinal Tract;;Proctoscopy ;Inspection: (Visually and/or manually exploring a body part) of Lower Intestinal Tract;ICD10 PCS-BD;0DJD8ZZ;SAME-AS;Procedure;N/A;;;;;
;Removal of N-G tube;;;Removal: (Taking out or off a device from a body part) of N-G tube;ICD10 PCS-BD;0DP630Z;SAME-AS;Procedure;N/A;;;;;
;Excision of Greater Omentum;;Omentectomy Greater Omentum;Excision: ( Cutting out or off, without replacement, a portion of a body part) of Greater Omentum;ICD10 PCS-BD;0DTS0ZZ;SAME-AS;Procedure;N/A;;;;;
;Excision of Lesser Omentum;;Omentectomy Lesser Omentum;Excision: ( Cutting out or off, without replacement, a portion of a body part) of Lesser Omentum;ICD10 PCS-BD;0DTT0ZZ;SAME-AS;Procedure;N/A;;;;;
;Excision of Gallbladder;;Cholecystectomy ;Excision: ( Cutting out or off, without replacement, a portion of a body part) of Gallbladder;ICD10 PCS-BD;0FB40ZZ;SAME-AS;Procedure;N/A;;;;;
;Excision of Gallbladder for Diagnostic purpose;;Cholecystectomy for diagnosis;Excision: ( Cutting out or off, without replacement, a portion of a body part) of Gallbladder for Diagnostic purpose;ICD10 PCS-BD;0FB40ZX;SAME-AS;Procedure;N/A;;;;;
;Extirpation of Gallbladder;;Excision of Gallbladder;Extirpation:(Taking or cutting out solid matter from a body part) of Gallbladder;ICD10 PCS-BD;0FC40ZZ;SAME-AS;Procedure;N/A;;;;;
;Extirpation of Common Bile Duct;;Choledocholithotomy;Extirpation :(Taking or cutting out solid matter from a body part) of Common Bile Duct;ICD10 PCS-BD;0FC90ZZ;SAME-AS;Procedure;N/A;;;;;
;Inspection of Breast, Right;;;Inspection: (Visually and/or manually exploring a body part) of Breast, Right;ICD10 PCS-BD;0HJTXZZ;SAME-AS;Procedure;N/A;;;;;
;Inspection of Breast, Left;;;Inspection: (Visually and/or manually exploring a body part) of Breast, Left;ICD10 PCS-BD;0HJUXZZ;SAME-AS;Procedure;N/A;;;;;
;Inspection of Finger Nail ;;;Inspection: (Visually and/or manually exploring a body part) of Finger Nail ;ICD10 PCS-BD;0HJQXZZ;SAME-AS;Procedure;N/A;;;;;
;Inspection of Toe Nail;;;Inspection: (Visually and/or manually exploring a body part) of Toe Nail;ICD10 PCS-BD;0HJRXZZ;SAME-AS;Procedure;N/A;;;;;
;Excision of Breast, Left;;;Excision: ( Cutting out or off, without replacement, a portion of a body part) of Breast, Left;ICD10 PCS-BD;0HBU0ZZ;SAME-AS;Procedure;N/A;;;;;
;Excision of Breast, Bilateral;;;Excision: ( Cutting out or off, without replacement, a portion of a body part) of Breast, Bilateral;ICD10 PCS-BD;0HBV0ZZ;SAME-AS;Procedure;N/A;;;;;
;Excision of Nipple, Right;;;Excision: ( Cutting out or off, without replacement, a portion of a body part) of Nipple, Right;ICD10 PCS-BD;0HBW0ZZ;SAME-AS;Procedure;N/A;;;;;
;Excision of Nipple, Left;;;Excision: ( Cutting out or off, without replacement, a portion of a body part) of Nipple, Left;ICD10 PCS-BD;0HBX0ZZ;SAME-AS;Procedure;N/A;;;;;
;Excision of Breast, Right for Diagnosis;;;Excision: ( Cutting out or off, without replacement, a portion of a body part) of Breast, Right for Diagnosis;ICD10 PCS-BD;0HBT0ZX;SAME-AS;Procedure;N/A;;;;;
;Excision of Breast, Left for Diagnosis;;;Excision: ( Cutting out or off, without replacement, a portion of a body part) of Breast, Left for Diagnosis;ICD10 PCS-BD;0HBU0ZX;SAME-AS;Procedure;N/A;;;;;
;Excision of Breast, Bilateral for Diagnosis;;;Excision: ( Cutting out or off, without replacement, a portion of a body part) of Breast, Bilateral for Diagnosis;ICD10 PCS-BD;0HBV0ZX;SAME-AS;Procedure;N/A;;;;;
;Excision of Nipple, Right for Diagnosis;;;Excision: ( Cutting out or off, without replacement, a portion of a body part) of Nipple, Right for Diagnosis;ICD10 PCS-BD;0HBW0ZX;SAME-AS;Procedure;N/A;;;;;
;Excision of Nipple, Left for Diagnosis;;;Excision: ( Cutting out or off, without replacement, a portion of a body part) of Nipple, Left for Diagnosis;ICD10 PCS-BD;0HBX0ZX;SAME-AS;Procedure;N/A;;;;;
;Excision of Breast, Right;;;Excision: ( Cutting out or off, without replacement, a portion of a body part) of Breast, Right;ICD10 PCS-BD;0HBT0ZZ;SAME-AS;Procedure;N/A;;;;;
;Extirpation of Skin, Scalp;;Excision of Skin, Scalp (for Growth/ Cyst/ Lipoma/ Foreign body);Extirpation:(Taking or cutting out solid matter from a body part) of Skin, Scalp;ICD10 PCS-BD;0HC00ZZ;SAME-AS;Procedure;N/A;;;;;
;Extirpation of Skin, Face;;Excision of Skin, Face (for Growth/ Cyst/ Lipoma/ Foreign body);Extirpation:(Taking or cutting out solid matter from a body part) of Skin, Face;ICD10 PCS-BD;0HC10ZZ;SAME-AS;Procedure;N/A;;;;;
;Extirpation of Skin, Right Ear ;;Excision of Skin, Right Ear (for Growth/ Cyst/ Lipoma/ Foreign body);Extirpation:(Taking or cutting out solid matter from a body part) of Skin, Right Ear ;ICD10 PCS-BD;0HC20ZZ;SAME-AS;Procedure;N/A;;;;;
;Extirpation of Skin, Left Ear;;Excision of Skin, Left Ear (for Growth/ Cyst/ Lipoma/ Foreign body);Extirpation:(Taking or cutting out solid matter from a body part) of Skin, Left Ear;ICD10 PCS-BD;0HC30ZZ;SAME-AS;Procedure;N/A;;;;;
;Extirpation of Skin, Neck;;Excision of Skin, Neck (for Growth/ Cyst/ Lipoma/ Foreign body);Extirpation:(Taking or cutting out solid matter from a body part) of Skin, Neck;ICD10 PCS-BD;0HC40ZZ;SAME-AS;Procedure;N/A;;;;;
;Extirpation of Skin, Chest;;Excision of Skin, Chest (for Growth/ Cyst/ Lipoma/ Foreign body);Extirpation:(Taking or cutting out solid matter from a body part) of Skin, Chest;ICD10 PCS-BD;0HC50ZZ;SAME-AS;Procedure;N/A;;;;;
;Extirpation of Skin, Back;;Excision of Skin, Back (for Growth/ Cyst/ Lipoma/ Foreign body);Extirpation:(Taking or cutting out solid matter from a body part) of Skin, Back;ICD10 PCS-BD;0HC60ZZ;SAME-AS;Procedure;N/A;;;;;
;Extirpation of Skin, Abdomen ;;Excision of Skin, Abdomen (for Growth/ Cyst/ Lipoma/ Foreign body);Extirpation:(Taking or cutting out solid matter from a body part) of Skin, Abdomen ;ICD10 PCS-BD;0HC70ZZ;SAME-AS;Procedure;N/A;;;;;
;Extirpation of Skin, Buttock ;;Excision of Skin, Buttock (for Growth/ Cyst/ Lipoma/ Foreign body);Extirpation:(Taking or cutting out solid matter from a body part) of Skin, Buttock ;ICD10 PCS-BD;0HC80ZZ;SAME-AS;Procedure;N/A;;;;;
;Extirpation of Skin, Perineum ;;Excision of Skin, Perineum (for Growth/ Cyst/ Lipoma/ Foreign body);Extirpation:(Taking or cutting out solid matter from a body part) of Skin, Perineum ;ICD10 PCS-BD;0HC90ZZ;SAME-AS;Procedure;N/A;;;;;
;Extirpation of Skin, Genitalia ;;Excision of Skin, Genitalia (for Growth/ Cyst/ Lipoma/ Foreign body);Extirpation:(Taking or cutting out solid matter from a body part) of Skin, Genitalia ;ICD10 PCS-BD;0HCA0ZZ;SAME-AS;Procedure;N/A;;;;;
;Extirpation of Skin, Right Upper Arm ;;Excision of Skin, Right Upper Arm (for Growth/ Cyst/ Lipoma/ Foreign body);Extirpation:(Taking or cutting out solid matter from a body part) of Skin, Right Upper Arm ;ICD10 PCS-BD;0HCB0ZZ;SAME-AS;Procedure;N/A;;;;;
;Extirpation of Skin, Left Upper Arm ;;Excision of Skin, Left Upper Arm (for Growth/ Cyst/ Lipoma/ Foreign body);Extirpation:(Taking or cutting out solid matter from a body part) of Skin, Left Upper Arm ;ICD10 PCS-BD;0HCC0ZZ;SAME-AS;Procedure;N/A;;;;;
;Extirpation of Skin, Right Lower Arm ;;Excision of Skin, Right Lower Arm (for Growth/ Cyst/ Lipoma/ Foreign body);Extirpation:(Taking or cutting out solid matter from a body part) of Skin, Right Lower Arm ;ICD10 PCS-BD;0HCD0ZZ;SAME-AS;Procedure;N/A;;;;;
;Extirpation of Skin, Left Lower Arm ;;Excision of Skin, Left Lower Arm (for Growth/ Cyst/ Lipoma/ Foreign body) ;Extirpation:(Taking or cutting out solid matter from a body part) of Skin, Left Lower Arm ;ICD10 PCS-BD;0HCE0ZZ;SAME-AS;Procedure;N/A;;;;;
;Extirpation of Skin, Right Hand ;;Excision of Skin, Right Hand (for Growth/ Cyst/ Lipoma/ Foreign body);Extirpation:(Taking or cutting out solid matter from a body part) of Skin, Right Hand ;ICD10 PCS-BD;0HCF0ZZ;SAME-AS;Procedure;N/A;;;;;
;Extirpation of Skin, Left Hand ;;Excision of Skin, Left Hand (for Growth/ Cyst/ Lipoma/ Foreign body);Extirpation:(Taking or cutting out solid matter from a body part) of Skin, Left Hand ;ICD10 PCS-BD;0HCG0ZZ;SAME-AS;Procedure;N/A;;;;;
;Extirpation of Skin, Right Upper Leg;;Excision of Skin, Right Upper Leg (for Growth/ Cyst/ Lipoma/ Foreign body);Extirpation :(Taking or cutting out solid matter from a body part) of Skin, Right Upper Leg;ICD10 PCS-BD;0HCHXZZ;SAME-AS;Procedure;N/A;;;;;
;Extirpation of Skin, Left Upper Leg;;Excision of Skin, Left Upper Leg (for Growth/ Cyst/ Lipoma/ Foreign body);Extirpation :(Taking or cutting out solid matter from a body part) of Skin, Left Upper Leg;ICD10 PCS-BD;0HCJXZZ;SAME-AS;Procedure;N/A;;;;;
;Extirpation of Skin, Right Lower Leg;;Excision of Skin, Right Lower Leg (for Growth/ Cyst/ Lipoma/ Foreign body);Extirpation :(Taking or cutting out solid matter from a body part) of Skin, Right Lower Leg;ICD10 PCS-BD;0HCKXZZ;SAME-AS;Procedure;N/A;;;;;
;Extirpation of Skin, Left Lower Leg;;Excision of Skin, Left Lower Leg (for Growth/ Cyst/ Lipoma/ Foreign body);Extirpation :(Taking or cutting out solid matter from a body part) of Skin, Left Lower Leg;ICD10 PCS-BD;0HCLXZZ;SAME-AS;Procedure;N/A;;;;;
;Extirpation of Skin, Right Foot;;Excision of Skin, Right Foot (for Growth/ Cyst/ Lipoma/ Foreign body);Extirpation :(Taking or cutting out solid matter from a body part) of Skin, Right Foot;ICD10 PCS-BD;0HCMXZZ;SAME-AS;Procedure;N/A;;;;;
;Extirpation of Skin, Left Foot;;Excision of Skin, Left Foot (for Growth/ Cyst/ Lipoma/ Foreign body);Extirpation :(Taking or cutting out solid matter from a body part) of Skin, Left Foot;ICD10 PCS-BD;0HCNXZZ;SAME-AS;Procedure;N/A;;;;;
