uuid;name;description;local-name;local-description;class;datatype;shortname;is-set;reference-term-source;reference-term-code;reference-term-name;reference-term-relationship;units;high-normal;low-normal;member-of;member-of-sort-weight;answer-of;answer-of-sort-weight
;Pneumonia, unspecified;;;;Diagnosis;N/A;;FALSE;ICD10-BD;J18.9;;SAME-AS;;;;;;;
;Acute bronchitis;;;;Diagnosis;N/A;;FALSE;ICD10-BD;J20;;SAME-AS;;;;;;;
;Acute bronchitis due to Mycoplasma pneumoniae;;;;Diagnosis;N/A;;FALSE;ICD10-BD;J20.0;;SAME-AS;;;;;;;
;Acute bronchitis due to Hemophilus influenzae;;;;Diagnosis;N/A;;FALSE;ICD10-BD;J20.1;;SAME-AS;;;;;;;
;Acute bronchitis due to streptococcus;;;;Diagnosis;N/A;;FALSE;ICD10-BD;J20.2;;SAME-AS;;;;;;;
;Acute bronchitis due to coxsackie virus;;;;Diagnosis;N/A;;FALSE;ICD10-BD;J20.3;;SAME-AS;;;;;;;
;Acute bronchitis due to parainfluenza virus;;;;Diagnosis;N/A;;FALSE;ICD10-BD;J20.4;;SAME-AS;;;;;;;
;Acute bronchitis due to respiratory syncytial virus;;;;Diagnosis;N/A;;FALSE;ICD10-BD;J20.5;;SAME-AS;;;;;;;
;Acute bronchitis due to rhinovirus;;;;Diagnosis;N/A;;FALSE;ICD10-BD;J20.6;;SAME-AS;;;;;;;
;Acute bronchitis due to echovirus;;;;Diagnosis;N/A;;FALSE;ICD10-BD;J20.7;;SAME-AS;;;;;;;
;Acute bronchitis due to other specified organisms;;;;Diagnosis;N/A;;FALSE;ICD10-BD;J20.8;;SAME-AS;;;;;;;
;Acute bronchitis, unspecified;;;;Diagnosis;N/A;;FALSE;ICD10-BD;J20.9;;SAME-AS;;;;;;;
;Acute bronchiolitis;;;;Diagnosis;N/A;;FALSE;ICD10-BD;J21;;SAME-AS;;;;;;;
;Acute bronchiolitis due to respiratory syncytial virus;;;;Diagnosis;N/A;;FALSE;ICD10-BD;J21.0;;SAME-AS;;;;;;;
;Acute bronchiolitis due to other specified organisms;;;;Diagnosis;N/A;;FALSE;ICD10-BD;J21.8;;SAME-AS;;;;;;;
;Acute bronchiolitis, unspecified;;;;Diagnosis;N/A;;FALSE;ICD10-BD;J21.9;;SAME-AS;;;;;;;
;Unspecified acute lower respiratory infection;;;;Diagnosis;N/A;;FALSE;ICD10-BD;J22;;SAME-AS;;;;;;;
;Vasomotor and allergic rhinitis;;;;Diagnosis;N/A;;FALSE;ICD10-BD;J30;;SAME-AS;;;;;;;
;Vasomotor rhinitis;;;;Diagnosis;N/A;;FALSE;ICD10-BD;J30.0;;SAME-AS;;;;;;;
;Allergic rhinitis due to pollen;;;;Diagnosis;N/A;;FALSE;ICD10-BD;J30.1;;SAME-AS;;;;;;;
;Other seasonal allergic rhinitis;;;;Diagnosis;N/A;;FALSE;ICD10-BD;J30.2;;SAME-AS;;;;;;;
;Other allergic rhinitis;;;;Diagnosis;N/A;;FALSE;ICD10-BD;J30.3;;SAME-AS;;;;;;;
;Allergic rhinitis, unspecified;;;;Diagnosis;N/A;;FALSE;ICD10-BD;J30.4;;SAME-AS;;;;;;;
;Chronic rhinitis, nasopharyngitis, and pharyngitis;;;;Diagnosis;N/A;;FALSE;ICD10-BD;J31;;SAME-AS;;;;;;;
;Chronic rhinitis;;;;Diagnosis;N/A;;FALSE;ICD10-BD;J31.0;;SAME-AS;;;;;;;
;Chronic nasopharyngitis;;;;Diagnosis;N/A;;FALSE;ICD10-BD;J31.1;;SAME-AS;;;;;;;
;Chronic pharyngitis;;;;Diagnosis;N/A;;FALSE;ICD10-BD;J31.2;;SAME-AS;;;;;;;
;Chronic sinusitis;;;;Diagnosis;N/A;;FALSE;ICD10-BD;J32;;SAME-AS;;;;;;;
;Chronic maxillary sinusitis;;;;Diagnosis;N/A;;FALSE;ICD10-BD;J32.0;;SAME-AS;;;;;;;
;Chronic frontal sinusitis;;;;Diagnosis;N/A;;FALSE;ICD10-BD;J32.1;;SAME-AS;;;;;;;
;Chronic ethmoidal sinusitis;;;;Diagnosis;N/A;;FALSE;ICD10-BD;J32.2;;SAME-AS;;;;;;;
;Chronic sphenoidal sinusitis;;;;Diagnosis;N/A;;FALSE;ICD10-BD;J32.3;;SAME-AS;;;;;;;
;Chronic pansinusitis;;;;Diagnosis;N/A;;FALSE;ICD10-BD;J32.4;;SAME-AS;;;;;;;
;Other chronic sinusitis;;;;Diagnosis;N/A;;FALSE;ICD10-BD;J32.8;;SAME-AS;;;;;;;
;Chronic sinusitis, unspecified;;;;Diagnosis;N/A;;FALSE;ICD10-BD;J32.9;;SAME-AS;;;;;;;
;Nasal polyp;;;;Diagnosis;N/A;;FALSE;ICD10-BD;J33;;SAME-AS;;;;;;;
;Polyp of nasal cavity;;;;Diagnosis;N/A;;FALSE;ICD10-BD;J33.0;;SAME-AS;;;;;;;
;Polypoid sinus degeneration;;;;Diagnosis;N/A;;FALSE;ICD10-BD;J33.1;;SAME-AS;;;;;;;
;Other polyp of sinus;;;;Diagnosis;N/A;;FALSE;ICD10-BD;J33.8;;SAME-AS;;;;;;;
;Nasal polyp, unspecified;;;;Diagnosis;N/A;;FALSE;ICD10-BD;J33.9;;SAME-AS;;;;;;;
;Other disorders of nose and nasal sinuses;;;;Diagnosis;N/A;;FALSE;ICD10-BD;J34;;SAME-AS;;;;;;;
;Abscess, furuncle, and carbuncle of nose;;;;Diagnosis;N/A;;FALSE;ICD10-BD;J34.0;;SAME-AS;;;;;;;
;Cyst and mucocele of nose and nasal sinus;;;;Diagnosis;N/A;;FALSE;ICD10-BD;J34.1;;SAME-AS;;;;;;;
;Deviated nasal septum;;;;Diagnosis;N/A;;FALSE;ICD10-BD;J34.2;;SAME-AS;;;;;;;
;Hypertrophy of nasal turbinates;;;;Diagnosis;N/A;;FALSE;ICD10-BD;J34.3;;SAME-AS;;;;;;;
;Other specified disorders of nose and nasal sinuses;;;;Diagnosis;N/A;;FALSE;ICD10-BD;J34.8;;SAME-AS;;;;;;;
;Chronic diseases of tonsils and adenoids;;;;Diagnosis;N/A;;FALSE;ICD10-BD;J35;;SAME-AS;;;;;;;
;Chronic tonsillitis;;;;Diagnosis;N/A;;FALSE;ICD10-BD;J35.0;;SAME-AS;;;;;;;
;Hypertrophy of tonsils;;;;Diagnosis;N/A;;FALSE;ICD10-BD;J35.1;;SAME-AS;;;;;;;
;Hypertrophy of adenoids;;;;Diagnosis;N/A;;FALSE;ICD10-BD;J35.2;;SAME-AS;;;;;;;
;Hypertrophy of tonsils with hypertrophy of adenoids;;;;Diagnosis;N/A;;FALSE;ICD10-BD;J35.3;;SAME-AS;;;;;;;
;Other chronic diseases of tonsils and adenoids;;;;Diagnosis;N/A;;FALSE;ICD10-BD;J35.8;;SAME-AS;;;;;;;
;Chronic disease of tonsils and adenoids, unspecified;;;;Diagnosis;N/A;;FALSE;ICD10-BD;J35.9;;SAME-AS;;;;;;;
;Peritonsillar abscess;;;;Diagnosis;N/A;;FALSE;ICD10-BD;J36;;SAME-AS;;;;;;;
;Chronic laryngitis and laryngotracheitis;;;;Diagnosis;N/A;;FALSE;ICD10-BD;J37;;SAME-AS;;;;;;;
;Chronic laryngitis;;;;Diagnosis;N/A;;FALSE;ICD10-BD;J37.0;;SAME-AS;;;;;;;
;Chronic laryngotracheitis;;;;Diagnosis;N/A;;FALSE;ICD10-BD;J37.1;;SAME-AS;;;;;;;
;Diseases of vocal cords and larynx, not elsewhere classified;;;;Diagnosis;N/A;;FALSE;ICD10-BD;J38;;SAME-AS;;;;;;;
;Paralysis of vocal cords and larynx;;;;Diagnosis;N/A;;FALSE;ICD10-BD;J38.0;;SAME-AS;;;;;;;
;Polyp of vocal cord and larynx;;;;Diagnosis;N/A;;FALSE;ICD10-BD;J38.1;;SAME-AS;;;;;;;
;Nodules of vocal cords;;;;Diagnosis;N/A;;FALSE;ICD10-BD;J38.2;;SAME-AS;;;;;;;
;Other diseases of vocal cords;;;;Diagnosis;N/A;;FALSE;ICD10-BD;J38.3;;SAME-AS;;;;;;;
;Edema of larynx;;;;Diagnosis;N/A;;FALSE;ICD10-BD;J38.4;;SAME-AS;;;;;;;
;Laryngeal spasm;;;;Diagnosis;N/A;;FALSE;ICD10-BD;J38.5;;SAME-AS;;;;;;;
;Stenosis of larynx;;;;Diagnosis;N/A;;FALSE;ICD10-BD;J38.6;;SAME-AS;;;;;;;
;Other diseases of larynx;;;;Diagnosis;N/A;;FALSE;ICD10-BD;J38.7;;SAME-AS;;;;;;;
;Other diseases of upper respiratory tract;;;;Diagnosis;N/A;;FALSE;ICD10-BD;J39;;SAME-AS;;;;;;;
;Retropharyngeal and parapharyngeal abscess;;;;Diagnosis;N/A;;FALSE;ICD10-BD;J39.0;;SAME-AS;;;;;;;
;Other abscess of pharynx;;;;Diagnosis;N/A;;FALSE;ICD10-BD;J39.1;;SAME-AS;;;;;;;
;Other diseases of pharynx;;;;Diagnosis;N/A;;FALSE;ICD10-BD;J39.2;;SAME-AS;;;;;;;
;Upper respiratory tract hypersensitivity reaction, site unspecified;;;;Diagnosis;N/A;;FALSE;ICD10-BD;J39.3;;SAME-AS;;;;;;;
;Other specified diseases of upper respiratory tract;;;;Diagnosis;N/A;;FALSE;ICD10-BD;J39.8;;SAME-AS;;;;;;;
;Disease of upper respiratory tract, unspecified;;;;Diagnosis;N/A;;FALSE;ICD10-BD;J39.9;;SAME-AS;;;;;;;
;Bronchitis, not specified as acute or chronic;;;;Diagnosis;N/A;;FALSE;ICD10-BD;J40;;SAME-AS;;;;;;;
;Simple and mucopurulent chronic bronchitis;;;;Diagnosis;N/A;;FALSE;ICD10-BD;J41;;SAME-AS;;;;;;;
;Simple chronic bronchitis;;;;Diagnosis;N/A;;FALSE;ICD10-BD;J41.0;;SAME-AS;;;;;;;
;Mucopurulent chronic bronchitis;;;;Diagnosis;N/A;;FALSE;ICD10-BD;J41.1;;SAME-AS;;;;;;;
;Mixed simple and mucopurulent chronic bronchitis;;;;Diagnosis;N/A;;FALSE;ICD10-BD;J41.8;;SAME-AS;;;;;;;
;Unspecified chronic bronchitis;;;;Diagnosis;N/A;;FALSE;ICD10-BD;J42;;SAME-AS;;;;;;;
;Emphysema;;;;Diagnosis;N/A;;FALSE;ICD10-BD;J43;;SAME-AS;;;;;;;
;MacLeod's syndrome;;;;Diagnosis;N/A;;FALSE;ICD10-BD;J43.0;;SAME-AS;;;;;;;
;Panlobular emphysema;;;;Diagnosis;N/A;;FALSE;ICD10-BD;J43.1;;SAME-AS;;;;;;;
;Centrilobular emphysema;;;;Diagnosis;N/A;;FALSE;ICD10-BD;J43.2;;SAME-AS;;;;;;;
;Other emphysema;;;;Diagnosis;N/A;;FALSE;ICD10-BD;J43.8;;SAME-AS;;;;;;;
;Emphysema, unspecified;;;;Diagnosis;N/A;;FALSE;ICD10-BD;J43.9;;SAME-AS;;;;;;;
;Other chronic obstructive pulmonary disease;;;;Diagnosis;N/A;;FALSE;ICD10-BD;J44;;SAME-AS;;;;;;;
;Chronic obstructive pulmonary disease with acute lower respiratory infection;;;;Diagnosis;N/A;;FALSE;ICD10-BD;J44.0;;SAME-AS;;;;;;;
;Chronic obstructive pulmonary disease with acute exacerbation, unspecified;;;;Diagnosis;N/A;;FALSE;ICD10-BD;J44.1;;SAME-AS;;;;;;;
;Other specified chronic obstructive pulmonary disease;;;;Diagnosis;N/A;;FALSE;ICD10-BD;J44.8;;SAME-AS;;;;;;;
;Chronic obstructive pulmonary disease, unspecified;;;;Diagnosis;N/A;;FALSE;ICD10-BD;J44.9;;SAME-AS;;;;;;;
;Asthma;;;;Diagnosis;N/A;;FALSE;ICD10-BD;J45;;SAME-AS;;;;;;;
;Predominantly allergic asthma;;;;Diagnosis;N/A;;FALSE;ICD10-BD;J45.0;;SAME-AS;;;;;;;
;Nonallergic asthma;;;;Diagnosis;N/A;;FALSE;ICD10-BD;J45.1;;SAME-AS;;;;;;;
;Mixed asthma;;;;Diagnosis;N/A;;FALSE;ICD10-BD;J45.8;;SAME-AS;;;;;;;
;Asthma, unspecified;;;;Diagnosis;N/A;;FALSE;ICD10-BD;J45.9;;SAME-AS;;;;;;;
;Status asthmaticus;;;;Diagnosis;N/A;;FALSE;ICD10-BD;J46;;SAME-AS;;;;;;;
;Bronchiectasis;;;;Diagnosis;N/A;;FALSE;ICD10-BD;J47;;SAME-AS;;;;;;;
;Coalworker's pneumoconiosis;;;;Diagnosis;N/A;;FALSE;ICD10-BD;J60;;SAME-AS;;;;;;;
;Pneumoconiosis due to asbestos and other mineral fibers;;;;Diagnosis;N/A;;FALSE;ICD10-BD;J61;;SAME-AS;;;;;;;
;Pneumoconiosis due to dust containing silica;;;;Diagnosis;N/A;;FALSE;ICD10-BD;J62;;SAME-AS;;;;;;;
;Pneumoconiosis due to talc dust;;;;Diagnosis;N/A;;FALSE;ICD10-BD;J62.0;;SAME-AS;;;;;;;
;Pneumoconiosis due to other dust containing silica;;;;Diagnosis;N/A;;FALSE;ICD10-BD;J62.8;;SAME-AS;;;;;;;
;Pneumoconiosis due to other inorganic dusts;;;;Diagnosis;N/A;;FALSE;ICD10-BD;J63;;SAME-AS;;;;;;;
;Aluminosis (of lung);;;;Diagnosis;N/A;;FALSE;ICD10-BD;J63.0;;SAME-AS;;;;;;;
;Bauxite fibrosis (of lung);;;;Diagnosis;N/A;;FALSE;ICD10-BD;J63.1;;SAME-AS;;;;;;;
;Berylliosis;;;;Diagnosis;N/A;;FALSE;ICD10-BD;J63.2;;SAME-AS;;;;;;;
;Graphite fibrosis (of lung);;;;Diagnosis;N/A;;FALSE;ICD10-BD;J63.3;;SAME-AS;;;;;;;
;Siderosis;;;;Diagnosis;N/A;;FALSE;ICD10-BD;J63.4;;SAME-AS;;;;;;;
;Stannosis;;;;Diagnosis;N/A;;FALSE;ICD10-BD;J63.5;;SAME-AS;;;;;;;
;Pneumoconiosis due to other specified inorganic dusts;;;;Diagnosis;N/A;;FALSE;ICD10-BD;J63.8;;SAME-AS;;;;;;;
;Unspecified pneumoconiosis;;;;Diagnosis;N/A;;FALSE;ICD10-BD;J64;;SAME-AS;;;;;;;
;Pneumoconiosis associated with tuberculosis;;;;Diagnosis;N/A;;FALSE;ICD10-BD;J65;;SAME-AS;;;;;;;
;Airway disease due to specific organic dust;;;;Diagnosis;N/A;;FALSE;ICD10-BD;J66;;SAME-AS;;;;;;;
;Byssinosis;;;;Diagnosis;N/A;;FALSE;ICD10-BD;J66.0;;SAME-AS;;;;;;;
;Flax-dresser's disease;;;;Diagnosis;N/A;;FALSE;ICD10-BD;J66.1;;SAME-AS;;;;;;;
;Cannabinosis;;;;Diagnosis;N/A;;FALSE;ICD10-BD;J66.2;;SAME-AS;;;;;;;
;Airway disease due to other specific organic dusts;;;;Diagnosis;N/A;;FALSE;ICD10-BD;J66.8;;SAME-AS;;;;;;;
;Hypersensitivity pneumonitis due to organic dust;;;;Diagnosis;N/A;;FALSE;ICD10-BD;J67;;SAME-AS;;;;;;;
;Farmer's lung;;;;Diagnosis;N/A;;FALSE;ICD10-BD;J67.0;;SAME-AS;;;;;;;
;Bagassosis;;;;Diagnosis;N/A;;FALSE;ICD10-BD;J67.1;;SAME-AS;;;;;;;
;Bird fancier's lung;;;;Diagnosis;N/A;;FALSE;ICD10-BD;J67.2;;SAME-AS;;;;;;;
;Suberosis;;;;Diagnosis;N/A;;FALSE;ICD10-BD;J67.3;;SAME-AS;;;;;;;
;Maltworker's lung;;;;Diagnosis;N/A;;FALSE;ICD10-BD;J67.4;;SAME-AS;;;;;;;
;Mushroom-worker's lung;;;;Diagnosis;N/A;;FALSE;ICD10-BD;J67.5;;SAME-AS;;;;;;;
;Maple-bark-stripper's lung;;;;Diagnosis;N/A;;FALSE;ICD10-BD;J67.6;;SAME-AS;;;;;;;
;Air-conditioner and humidifier lung;;;;Diagnosis;N/A;;FALSE;ICD10-BD;J67.7;;SAME-AS;;;;;;;
;Hypersensitivity pneumonitis due to other organic dusts;;;;Diagnosis;N/A;;FALSE;ICD10-BD;J67.8;;SAME-AS;;;;;;;
;Hypersensitivity pneumonitis due to unspecified organic dust;;;;Diagnosis;N/A;;FALSE;ICD10-BD;J67.9;;SAME-AS;;;;;;;
;Respiratory conditions due to inhalation of chemicals, gases, fumes, and vapors;;;;Diagnosis;N/A;;FALSE;ICD10-BD;J68;;SAME-AS;;;;;;;
;Bronchitis and pneumonitis due to chemicals, gases, fumes, and vapors;;;;Diagnosis;N/A;;FALSE;ICD10-BD;J68.0;;SAME-AS;;;;;;;
;Acute pulmonary edema due to chemicals, gases, fumes, and vapors;;;;Diagnosis;N/A;;FALSE;ICD10-BD;J68.1;;SAME-AS;;;;;;;
;Upper respiratory inflammation due to chemicals, gases, fumes, and vapors, not elsewhere classified;;;;Diagnosis;N/A;;FALSE;ICD10-BD;J68.2;;SAME-AS;;;;;;;
;Other acute and subacute respiratory conditions due to chemicals, gases, fumes, and vapors;;;;Diagnosis;N/A;;FALSE;ICD10-BD;J68.3;;SAME-AS;;;;;;;
;Chronic respiratory conditions due to chemicals, gases, fumes, and vapors;;;;Diagnosis;N/A;;FALSE;ICD10-BD;J68.4;;SAME-AS;;;;;;;
;Other respiratory conditions due to chemicals, gases, fumes, and vapors;;;;Diagnosis;N/A;;FALSE;ICD10-BD;J68.8;;SAME-AS;;;;;;;
;Unspecified respiratory condition due to chemicals, gases, fumes, and vapors;;;;Diagnosis;N/A;;FALSE;ICD10-BD;J68.9;;SAME-AS;;;;;;;
;Pneumonitis due to solids and liquids;;;;Diagnosis;N/A;;FALSE;ICD10-BD;J69;;SAME-AS;;;;;;;
;Pneumonitis due to food and vomit;;;;Diagnosis;N/A;;FALSE;ICD10-BD;J69.0;;SAME-AS;;;;;;;
;Pneumonitis due to oils and essences;;;;Diagnosis;N/A;;FALSE;ICD10-BD;J69.1;;SAME-AS;;;;;;;
;Pneumonitis due to other solids and liquids;;;;Diagnosis;N/A;;FALSE;ICD10-BD;J69.8;;SAME-AS;;;;;;;
;Respiratory conditions due to other external agents;;;;Diagnosis;N/A;;FALSE;ICD10-BD;J70;;SAME-AS;;;;;;;
;Acute pulmonary manifestations due to radiation;;;;Diagnosis;N/A;;FALSE;ICD10-BD;J70.0;;SAME-AS;;;;;;;
;Chronic and other pulmonary manifestations due to radiation;;;;Diagnosis;N/A;;FALSE;ICD10-BD;J70.1;;SAME-AS;;;;;;;
;Acute drug-induced interstitial lung disorders;;;;Diagnosis;N/A;;FALSE;ICD10-BD;J70.2;;SAME-AS;;;;;;;
;Chronic drug-induced interstitial lung disorders;;;;Diagnosis;N/A;;FALSE;ICD10-BD;J70.3;;SAME-AS;;;;;;;
;Drug-induced interstitial lung disorder, unspecified;;;;Diagnosis;N/A;;FALSE;ICD10-BD;J70.4;;SAME-AS;;;;;;;
;Respiratory conditions due to other specified external agents;;;;Diagnosis;N/A;;FALSE;ICD10-BD;J70.8;;SAME-AS;;;;;;;
;Respiratory conditions due to unspecified external agent;;;;Diagnosis;N/A;;FALSE;ICD10-BD;J70.9;;SAME-AS;;;;;;;
;Adult respiratory distress syndrome;;;;Diagnosis;N/A;;FALSE;ICD10-BD;J80;;SAME-AS;;;;;;;
;Pulmonary edema;;;;Diagnosis;N/A;;FALSE;ICD10-BD;J81;;SAME-AS;;;;;;;
