uuid;name;description;local-name;local-description;class;datatype;shortname;is-set;reference-term-source;reference-term-code;reference-term-name;reference-term-relationship;units;high-normal;low-normal;member-of;member-of-sort-weight;answer-of;answer-of-sort-weight
;Spontaneous abortion, incomplete, complicated by genital tract and pelvic infection;;;;Diagnosis;N/A;;FALSE;ICD10-BD;O03.0;;SAME-AS;;;;;;;
;Spontaneous abortion, incomplete, complicated by delayed or excessive hemorrhage;;;;Diagnosis;N/A;;FALSE;ICD10-BD;O03.1;;SAME-AS;;;;;;;
;Spontaneous abortion, incomplete, complicated by embolism;;;;Diagnosis;N/A;;FALSE;ICD10-BD;O03.2;;SAME-AS;;;;;;;
;Spontaneous abortion, incomplete, with other and unspecified complications;;;;Diagnosis;N/A;;FALSE;ICD10-BD;O03.3;;SAME-AS;;;;;;;
;Spontaneous abortion, incomplete, without complication;;;;Diagnosis;N/A;;FALSE;ICD10-BD;O03.4;;SAME-AS;;;;;;;
;Spontaneous abortion, complete or unspecified, complicated by genital tract and pelvic infection;;;;Diagnosis;N/A;;FALSE;ICD10-BD;O03.5;;SAME-AS;;;;;;;
;Spontaneous abortion, complete or unspecified, complicated by delayed or excessive hemorrhage;;;;Diagnosis;N/A;;FALSE;ICD10-BD;O03.6;;SAME-AS;;;;;;;
;Spontaneous abortion, complete or unspecified, complicated by embolism;;;;Diagnosis;N/A;;FALSE;ICD10-BD;O03.7;;SAME-AS;;;;;;;
;Spontaneous abortion, complete or unspecified, with other and unspecified complications;;;;Diagnosis;N/A;;FALSE;ICD10-BD;O03.8;;SAME-AS;;;;;;;
;Spontaneous abortion, complete or unspecified, without complication;;;;Diagnosis;N/A;;FALSE;ICD10-BD;O03.9;;SAME-AS;;;;;;;
;Medical abortion  ;;;;Diagnosis;N/A;;FALSE;ICD10-BD;O04;;SAME-AS;;;;;;;
;Medical abortion, incomplete, complicated by genital tract and pelvic infection;;;;Diagnosis;N/A;;FALSE;ICD10-BD;O04.0;;SAME-AS;;;;;;;
;Medical abortion, incomplete, complicated by delayed or excessive hemorrhage;;;;Diagnosis;N/A;;FALSE;ICD10-BD;O04.1;;SAME-AS;;;;;;;
;Medical abortion, incomplete, complicated by embolism;;;;Diagnosis;N/A;;FALSE;ICD10-BD;O04.2;;SAME-AS;;;;;;;
;Medical abortion, incomplete, with other and unspecified complications;;;;Diagnosis;N/A;;FALSE;ICD10-BD;O04.3;;SAME-AS;;;;;;;
;Medical abortion, incomplete, without complication;;;;Diagnosis;N/A;;FALSE;ICD10-BD;O04.4;;SAME-AS;;;;;;;
;Medical abortion, complete or unspecified, complicated by genital tract and pelvic infection;;;;Diagnosis;N/A;;FALSE;ICD10-BD;O04.5;;SAME-AS;;;;;;;
;Medical abortion, complete or unspecified, complicated by delayed or excessive hemorrhage;;;;Diagnosis;N/A;;FALSE;ICD10-BD;O04.6;;SAME-AS;;;;;;;
;Medical abortion, complete or unspecified, complicated by embolism;;;;Diagnosis;N/A;;FALSE;ICD10-BD;O04.7;;SAME-AS;;;;;;;
;Medical abortion, complete or unspecified, with other and unspecified complications;;;;Diagnosis;N/A;;FALSE;ICD10-BD;O04.8;;SAME-AS;;;;;;;
;Medical abortion, complete or unspecified, without complication;;;;Diagnosis;N/A;;FALSE;ICD10-BD;O04.9;;SAME-AS;;;;;;;
;Other abortion  ;;;;Diagnosis;N/A;;FALSE;ICD10-BD;O05;;SAME-AS;;;;;;;
;Other abortion, incomplete, complicated by genital tract and pelvic infection;;;;Diagnosis;N/A;;FALSE;ICD10-BD;O05.0;;SAME-AS;;;;;;;
;Other abortion, incomplete, complicated by delayed or excessive hemorrhage;;;;Diagnosis;N/A;;FALSE;ICD10-BD;O05.1;;SAME-AS;;;;;;;
;Other abortion, incomplete, complicated by embolism;;;;Diagnosis;N/A;;FALSE;ICD10-BD;O05.2;;SAME-AS;;;;;;;
;Other abortion, incomplete, with other and unspecified complications;;;;Diagnosis;N/A;;FALSE;ICD10-BD;O05.3;;SAME-AS;;;;;;;
;Other abortion, incomplete, without complication;;;;Diagnosis;N/A;;FALSE;ICD10-BD;O05.4;;SAME-AS;;;;;;;
;Other abortion, complete or unspecified, complicated by genital tract and pelvic infection;;;;Diagnosis;N/A;;FALSE;ICD10-BD;O05.5;;SAME-AS;;;;;;;
;Other abortion, complete or unspecified, complicated by delayed or excessive hemorrhage;;;;Diagnosis;N/A;;FALSE;ICD10-BD;O05.6;;SAME-AS;;;;;;;
;Other abortion, complete or unspecified, complicated by embolism;;;;Diagnosis;N/A;;FALSE;ICD10-BD;O05.7;;SAME-AS;;;;;;;
;Other abortion, complete or unspecified, with other and unspecified complications;;;;Diagnosis;N/A;;FALSE;ICD10-BD;O05.8;;SAME-AS;;;;;;;
;Other abortion, complete or unspecified, without complication;;;;Diagnosis;N/A;;FALSE;ICD10-BD;O05.9;;SAME-AS;;;;;;;
;Unspecified abortion  ;;;;Diagnosis;N/A;;FALSE;ICD10-BD;O06;;SAME-AS;;;;;;;
;Unspecified abortion, incomplete, complicated by genital tract and pelvic infection;;;;Diagnosis;N/A;;FALSE;ICD10-BD;O06.0;;SAME-AS;;;;;;;
;Unspecified abortion, incomplete, complicated by delayed or excessive hemorrhage;;;;Diagnosis;N/A;;FALSE;ICD10-BD;O06.1;;SAME-AS;;;;;;;
;Unspecified abortion, incomplete, complicated by embolism;;;;Diagnosis;N/A;;FALSE;ICD10-BD;O06.2;;SAME-AS;;;;;;;
;Unspecified abortion, incomplete, with other and unspecified complications;;;;Diagnosis;N/A;;FALSE;ICD10-BD;O06.3;;SAME-AS;;;;;;;
;Unspecified abortion, incomplete, without complication;;;;Diagnosis;N/A;;FALSE;ICD10-BD;O06.4;;SAME-AS;;;;;;;
;Unspecified abortion, complete or unspecified, complicated by genital tract and pelvic infection;;;;Diagnosis;N/A;;FALSE;ICD10-BD;O06.5;;SAME-AS;;;;;;;
;Unspecified abortion, complete or unspecified, complicated by delayed or excessive hemorrhage;;;;Diagnosis;N/A;;FALSE;ICD10-BD;O06.6;;SAME-AS;;;;;;;
;Unspecified abortion, complete or unspecified, complicated by embolism;;;;Diagnosis;N/A;;FALSE;ICD10-BD;O06.7;;SAME-AS;;;;;;;
;Unspecified abortion, complete or unspecified, with other and unspecified complications;;;;Diagnosis;N/A;;FALSE;ICD10-BD;O06.8;;SAME-AS;;;;;;;
;Unspecified abortion, complete or unspecified, without complication;;;;Diagnosis;N/A;;FALSE;ICD10-BD;O06.9;;SAME-AS;;;;;;;
;Failed attempted abortion;;;;Diagnosis;N/A;;FALSE;ICD10-BD;O07;;SAME-AS;;;;;;;
;Failed medical abortion, complicated by genital tract and pelvic infection;;;;Diagnosis;N/A;;FALSE;ICD10-BD;O07.0;;SAME-AS;;;;;;;
;Failed medical abortion, complicated by delayed or excessive hemorrhage;;;;Diagnosis;N/A;;FALSE;ICD10-BD;O07.1;;SAME-AS;;;;;;;
;Failed medical abortion, complicated by embolism;;;;Diagnosis;N/A;;FALSE;ICD10-BD;O07.2;;SAME-AS;;;;;;;
;Failed medical abortion, with other and unspecified complications;;;;Diagnosis;N/A;;FALSE;ICD10-BD;O07.3;;SAME-AS;;;;;;;
;Failed medical abortion, without complication;;;;Diagnosis;N/A;;FALSE;ICD10-BD;O07.4;;SAME-AS;;;;;;;
;Other and unspecified failed attempted abortion, complicated by genital tract and pelvic infection;;;;Diagnosis;N/A;;FALSE;ICD10-BD;O07.5;;SAME-AS;;;;;;;
;Other and unspecified failed attempted abortion, complicated by delayed or excessive hemorrhage;;;;Diagnosis;N/A;;FALSE;ICD10-BD;O07.6;;SAME-AS;;;;;;;
;Other and unspecified failed attempted abortion, complicated by embolism;;;;Diagnosis;N/A;;FALSE;ICD10-BD;O07.7;;SAME-AS;;;;;;;
;Other and unspecified failed attempted abortion, with other and unspecified complications;;;;Diagnosis;N/A;;FALSE;ICD10-BD;O07.8;;SAME-AS;;;;;;;
;Other and unspecified failed attempted abortion, without complication;;;;Diagnosis;N/A;;FALSE;ICD10-BD;O07.9;;SAME-AS;;;;;;;
;Complications following abortion and ectopic and molar pregnancy;;;;Diagnosis;N/A;;FALSE;ICD10-BD;O08;;SAME-AS;;;;;;;
;Genital tract and pelvic infection following abortion and ectopic and molar pregnancy;;;;Diagnosis;N/A;;FALSE;ICD10-BD;O08.0;;SAME-AS;;;;;;;
;Delayed or excessive hemorrhage following abortion and ectopic and molar pregnancy;;;;Diagnosis;N/A;;FALSE;ICD10-BD;O08.1;;SAME-AS;;;;;;;
;Embolism following abortion and ectopic and molar pregnancy;;;;Diagnosis;N/A;;FALSE;ICD10-BD;O08.2;;SAME-AS;;;;;;;
;Shock following abortion and ectopic and molar pregnancy ;;;;Diagnosis;N/A;;FALSE;ICD10-BD;O08.3;;SAME-AS;;;;;;;
;Renal failure following abortion and ectopic and molar pregnancy ;;;;Diagnosis;N/A;;FALSE;ICD10-BD;O08.4;;SAME-AS;;;;;;;
;Metabolic disorders following abortion and ectopic and molar pregnancy ;;;;Diagnosis;N/A;;FALSE;ICD10-BD;O08.5;;SAME-AS;;;;;;;
;Damage to pelvic organs and tissues following abortion and ectopic and molar pregnancy;;;;Diagnosis;N/A;;FALSE;ICD10-BD;O08.6;;SAME-AS;;;;;;;
;Other venous complications following abortion and ectopic and molar pregnancy;;;;Diagnosis;N/A;;FALSE;ICD10-BD;O08.7;;SAME-AS;;;;;;;
;Other complications following abortion and ectopic and molar pregnancy ;;;;Diagnosis;N/A;;FALSE;ICD10-BD;O08.8;;SAME-AS;;;;;;;
;Complication following abortion and ectopic and molar pregnancy, unspecified;;;;Diagnosis;N/A;;FALSE;ICD10-BD;O08.9;;SAME-AS;;;;;;;
;Pre-existing hypertension complicating pregnancy, childbirth and the puerperium;;;;Diagnosis;N/A;;FALSE;ICD10-BD;O10;;SAME-AS;;;;;;;
;Preexisting essential hypertension complicating pregnancy, childbirth and the puerperium;;;;Diagnosis;N/A;;FALSE;ICD10-BD;O10.0;;SAME-AS;;;;;;;
;Preexisting hypertensive heart disease complicating pregnancy, childbirth and the puerperium;;;;Diagnosis;N/A;;FALSE;ICD10-BD;O10.1;;SAME-AS;;;;;;;
;Preexisting hypertensive renal disease complicating pregnancy, childbirth and the puerperium;;;;Diagnosis;N/A;;FALSE;ICD10-BD;O10.2;;SAME-AS;;;;;;;
;Preexisting hypertensive heart and renal disease complicating pregnancy, childbirth and the puerperium;;;;Diagnosis;N/A;;FALSE;ICD10-BD;O10.3;;SAME-AS;;;;;;;
;Preexisting secondary hypertension complicating pregnancy, childbirth and the puerperium;;;;Diagnosis;N/A;;FALSE;ICD10-BD;O10.4;;SAME-AS;;;;;;;
;Unspecified preexisting hypertension complicating pregnancy, childbirth and the puerperium;;;;Diagnosis;N/A;;FALSE;ICD10-BD;O10.9;;SAME-AS;;;;;;;
;Preexisting hypertensive disorder with superimposed proteinuria;;;;Diagnosis;N/A;;FALSE;ICD10-BD;O11;;SAME-AS;;;;;;;
;Gestational [pregnancy-induced] edema and proteinuria without hypertension;;;;Diagnosis;N/A;;FALSE;ICD10-BD;O12;;SAME-AS;;;;;;;
;Gestational edema;;;;Diagnosis;N/A;;FALSE;ICD10-BD;O12.0;;SAME-AS;;;;;;;
;Gestational proteinuria;;;;Diagnosis;N/A;;FALSE;ICD10-BD;O12.1;;SAME-AS;;;;;;;
;Gestational edema with proteinuria;;;;Diagnosis;N/A;;FALSE;ICD10-BD;O12.2;;SAME-AS;;;;;;;
;Gestational [pregnancy-induced] hypertension without significant proteinuria;;;;Diagnosis;N/A;;FALSE;ICD10-BD;O13;;SAME-AS;;;;;;;
;Gestational [pregnancy-induced] hypertension with significant proteinuria;;;;Diagnosis;N/A;;FALSE;ICD10-BD;O14;;SAME-AS;;;;;;;
;Moderate preeclampsia;;;;Diagnosis;N/A;;FALSE;ICD10-BD;O14.0;;SAME-AS;;;;;;;
;Severe preeclampsia;;;;Diagnosis;N/A;;FALSE;ICD10-BD;O14.1;;SAME-AS;;;;;;;
;Preeclampsia, unspecified;;;;Diagnosis;N/A;;FALSE;ICD10-BD;O14.9;;SAME-AS;;;;;;;
;Eclampsia;;;;Diagnosis;N/A;;FALSE;ICD10-BD;O15;;SAME-AS;;;;;;;
;Eclampsia in pregnancy;;;;Diagnosis;N/A;;FALSE;ICD10-BD;O15.0;;SAME-AS;;;;;;;
;Eclampsia in labor;;;;Diagnosis;N/A;;FALSE;ICD10-BD;O15.1;;SAME-AS;;;;;;;
;Eclampsia in the puerperium;;;;Diagnosis;N/A;;FALSE;ICD10-BD;O15.2;;SAME-AS;;;;;;;
;Eclampsia, unspecified as to time period;;;;Diagnosis;N/A;;FALSE;ICD10-BD;O15.9;;SAME-AS;;;;;;;
;Unspecified maternal hypertension;;;;Diagnosis;N/A;;FALSE;ICD10-BD;O16;;SAME-AS;;;;;;;
;Hemorrhage in early pregnancy;;;;Diagnosis;N/A;;FALSE;ICD10-BD;O20;;SAME-AS;;;;;;;
;Threatened abortion;;;;Diagnosis;N/A;;FALSE;ICD10-BD;O20.0;;SAME-AS;;;;;;;
;Other hemorrhage in early pregnancy;;;;Diagnosis;N/A;;FALSE;ICD10-BD;O20.8;;SAME-AS;;;;;;;
;Hemorrhage in early pregnancy, unspecified;;;;Diagnosis;N/A;;FALSE;ICD10-BD;O20.9;;SAME-AS;;;;;;;
;Excessive vomiting in pregnancy;;;;Diagnosis;N/A;;FALSE;ICD10-BD;O21;;SAME-AS;;;;;;;
;Mild hyperemesis gravidarum;;;;Diagnosis;N/A;;FALSE;ICD10-BD;O21.0;;SAME-AS;;;;;;;
;Hyperemesis gravidarum with metabolic disturbance;;;;Diagnosis;N/A;;FALSE;ICD10-BD;O21.1;;SAME-AS;;;;;;;
;Late vomiting of pregnancy;;;;Diagnosis;N/A;;FALSE;ICD10-BD;O21.2;;SAME-AS;;;;;;;
;Other vomiting complicating pregnancy;;;;Diagnosis;N/A;;FALSE;ICD10-BD;O21.8;;SAME-AS;;;;;;;
;Vomiting of pregnancy, unspecified;;;;Diagnosis;N/A;;FALSE;ICD10-BD;O21.9;;SAME-AS;;;;;;;
;Venous complications in pregnancy;;;;Diagnosis;N/A;;FALSE;ICD10-BD;O22;;SAME-AS;;;;;;;
;Varicose veins of lower extremity in pregnancy;;;;Diagnosis;N/A;;FALSE;ICD10-BD;O22.0;;SAME-AS;;;;;;;
;Genital varices in pregnancy;;;;Diagnosis;N/A;;FALSE;ICD10-BD;O22.1;;SAME-AS;;;;;;;
;Superficial thrombophlebitis in pregnancy;;;;Diagnosis;N/A;;FALSE;ICD10-BD;O22.2;;SAME-AS;;;;;;;
;Deep phlebothrombosis in pregnancy;;;;Diagnosis;N/A;;FALSE;ICD10-BD;O22.3;;SAME-AS;;;;;;;
;Hemorrhoids in pregnancy;;;;Diagnosis;N/A;;FALSE;ICD10-BD;O22.4;;SAME-AS;;;;;;;
;Cerebral venous thrombosis in pregnancy;;;;Diagnosis;N/A;;FALSE;ICD10-BD;O22.5;;SAME-AS;;;;;;;
;Other venous complications in pregnancy;;;;Diagnosis;N/A;;FALSE;ICD10-BD;O22.8;;SAME-AS;;;;;;;
;Venous complication in pregnancy, unspecified;;;;Diagnosis;N/A;;FALSE;ICD10-BD;O22.9;;SAME-AS;;;;;;;
;Infections of genitourinary tract in pregnancy;;;;Diagnosis;N/A;;FALSE;ICD10-BD;O23;;SAME-AS;;;;;;;
;Infections of kidney in pregnancy;;;;Diagnosis;N/A;;FALSE;ICD10-BD;O23.0;;SAME-AS;;;;;;;
;Infections of bladder in pregnancy;;;;Diagnosis;N/A;;FALSE;ICD10-BD;O23.1;;SAME-AS;;;;;;;
;Infections of urethra in pregnancy;;;;Diagnosis;N/A;;FALSE;ICD10-BD;O23.2;;SAME-AS;;;;;;;
;Infections of other parts of urinary tract in pregnancy;;;;Diagnosis;N/A;;FALSE;ICD10-BD;O23.3;;SAME-AS;;;;;;;
;Unspecified infection of urinary tract in pregnancy;;;;Diagnosis;N/A;;FALSE;ICD10-BD;O23.4;;SAME-AS;;;;;;;
;Infections of the genital tract in pregnancy;;;;Diagnosis;N/A;;FALSE;ICD10-BD;O23.5;;SAME-AS;;;;;;;
;Other and unspecified genitourinary tract infection in pregnancy;;;;Diagnosis;N/A;;FALSE;ICD10-BD;O23.9;;SAME-AS;;;;;;;
;Diabetes mellitus in pregnancy;;;;Diagnosis;N/A;;FALSE;ICD10-BD;O24;;SAME-AS;;;;;;;
;Preexisting diabetes mellitus, insulin-dependent;;;;Diagnosis;N/A;;FALSE;ICD10-BD;O24.0;;SAME-AS;;;;;;;
;Preexisting diabetes mellitus, noninsulin-dependent;;;;Diagnosis;N/A;;FALSE;ICD10-BD;O24.1;;SAME-AS;;;;;;;
;Preexisting malnutrition-related diabetes mellitus;;;;Diagnosis;N/A;;FALSE;ICD10-BD;O24.2;;SAME-AS;;;;;;;
;Preexisting diabetes mellitus, unspecified;;;;Diagnosis;N/A;;FALSE;ICD10-BD;O24.3;;SAME-AS;;;;;;;
;Diabetes mellitus arising in pregnancy;;;;Diagnosis;N/A;;FALSE;ICD10-BD;O24.4;;SAME-AS;;;;;;;
;Diabetes mellitus in pregnancy, unspecified;;;;Diagnosis;N/A;;FALSE;ICD10-BD;O24.9;;SAME-AS;;;;;;;
;Malnutrition in pregnancy;;;;Diagnosis;N/A;;FALSE;ICD10-BD;O25;;SAME-AS;;;;;;;
;Maternal care for other conditions predominantly related to pregnancy;;;;Diagnosis;N/A;;FALSE;ICD10-BD;O26;;SAME-AS;;;;;;;
;Excessive weight gain in pregnancy;;;;Diagnosis;N/A;;FALSE;ICD10-BD;O26.0;;SAME-AS;;;;;;;
;Low weight gain in pregnancy;;;;Diagnosis;N/A;;FALSE;ICD10-BD;O26.1;;SAME-AS;;;;;;;
;Pregnancy care of habitual aborter;;;;Diagnosis;N/A;;FALSE;ICD10-BD;O26.2;;SAME-AS;;;;;;;
;Retained intrauterine contraceptive device in pregnancy;;;;Diagnosis;N/A;;FALSE;ICD10-BD;O26.3;;SAME-AS;;;;;;;
;Herpes gestationis;;;;Diagnosis;N/A;;FALSE;ICD10-BD;O26.4;;SAME-AS;;;;;;;
;Maternal hypotension syndrome;;;;Diagnosis;N/A;;FALSE;ICD10-BD;O26.5;;SAME-AS;;;;;;;
;Liver disorders in pregnancy, childbirth, and the puerperium;;;;Diagnosis;N/A;;FALSE;ICD10-BD;O26.6;;SAME-AS;;;;;;;
;Subluxation of symphysis (pubis) in pregnancy, childbirth, and the puerperium;;;;Diagnosis;N/A;;FALSE;ICD10-BD;O26.7;;SAME-AS;;;;;;;
;Other specified pregnancy-related conditions;;;;Diagnosis;N/A;;FALSE;ICD10-BD;O26.8;;SAME-AS;;;;;;;
;Pregnancy-related condition, unspecified;;;;Diagnosis;N/A;;FALSE;ICD10-BD;O26.9;;SAME-AS;;;;;;;
;Abnormal findings on antenatal screening of mother;;;;Diagnosis;N/A;;FALSE;ICD10-BD;O28;;SAME-AS;;;;;;;
;Abnormal hematological finding on antenatal screening of mother;;;;Diagnosis;N/A;;FALSE;ICD10-BD;O28.0;;SAME-AS;;;;;;;
;Abnormal biochemical finding on antenatal screening of mother;;;;Diagnosis;N/A;;FALSE;ICD10-BD;O28.1;;SAME-AS;;;;;;;
;Abnormal cytological finding on antenatal screening of mother;;;;Diagnosis;N/A;;FALSE;ICD10-BD;O28.2;;SAME-AS;;;;;;;
;Abnormal ultrasonic finding on antenatal screening of mother;;;;Diagnosis;N/A;;FALSE;ICD10-BD;O28.3;;SAME-AS;;;;;;;
;Abnormal radiological finding on antenatal screening of mother;;;;Diagnosis;N/A;;FALSE;ICD10-BD;O28.4;;SAME-AS;;;;;;;
;Abnormal chromosomal and genetic finding on antenatal screening of mother;;;;Diagnosis;N/A;;FALSE;ICD10-BD;O28.5;;SAME-AS;;;;;;;
;Other abnormal findings on antenatal screening of mother;;;;Diagnosis;N/A;;FALSE;ICD10-BD;O28.8;;SAME-AS;;;;;;;
;Abnormal finding on antenatal screening of mother, unspecified;;;;Diagnosis;N/A;;FALSE;ICD10-BD;O28.9;;SAME-AS;;;;;;;
;Complications of anesthesia during pregnancy;;;;Diagnosis;N/A;;FALSE;ICD10-BD;O29;;SAME-AS;;;;;;;
;Pulmonary complications of anesthesia during pregnancy;;;;Diagnosis;N/A;;FALSE;ICD10-BD;O29.0;;SAME-AS;;;;;;;
;Cardiac complications of anesthesia during pregnancy;;;;Diagnosis;N/A;;FALSE;ICD10-BD;O29.1;;SAME-AS;;;;;;;
;Central nervous system complications of anesthesia during pregnancy;;;;Diagnosis;N/A;;FALSE;ICD10-BD;O29.2;;SAME-AS;;;;;;;
;Toxic reaction to local anesthesia during pregnancy;;;;Diagnosis;N/A;;FALSE;ICD10-BD;O29.3;;SAME-AS;;;;;;;
;Spinal and epidural anesthesia-induced headache during pregnancy;;;;Diagnosis;N/A;;FALSE;ICD10-BD;O29.4;;SAME-AS;;;;;;;
;Other complications of spinal and epidural anesthesia during pregnancy;;;;Diagnosis;N/A;;FALSE;ICD10-BD;O29.5;;SAME-AS;;;;;;;
;Failed or difficult intubation during pregnancy;;;;Diagnosis;N/A;;FALSE;ICD10-BD;O29.6;;SAME-AS;;;;;;;
;Other complications of anesthesia during pregnancy;;;;Diagnosis;N/A;;FALSE;ICD10-BD;O29.8;;SAME-AS;;;;;;;
;Complication of anesthesia during pregnancy, unspecified;;;;Diagnosis;N/A;;FALSE;ICD10-BD;O29.9;;SAME-AS;;;;;;;
;Multiple gestation;;;;Diagnosis;N/A;;FALSE;ICD10-BD;O30;;SAME-AS;;;;;;;
;Twin pregnancy;;;;Diagnosis;N/A;;FALSE;ICD10-BD;O30.0;;SAME-AS;;;;;;;
;Triplet pregnancy;;;;Diagnosis;N/A;;FALSE;ICD10-BD;O30.1;;SAME-AS;;;;;;;
;Quadruplet pregnancy;;;;Diagnosis;N/A;;FALSE;ICD10-BD;O30.2;;SAME-AS;;;;;;;
;Other multiple gestation;;;;Diagnosis;N/A;;FALSE;ICD10-BD;O30.8;;SAME-AS;;;;;;;
;Multiple gestation, unspecified;;;;Diagnosis;N/A;;FALSE;ICD10-BD;O30.9;;SAME-AS;;;;;;;
;Complications specific to multiple gestation;;;;Diagnosis;N/A;;FALSE;ICD10-BD;O31;;SAME-AS;;;;;;;
;Papyraceous fetus;;;;Diagnosis;N/A;;FALSE;ICD10-BD;O31.0;;SAME-AS;;;;;;;
;Continuing pregnancy after abortion of one fetus or more;;;;Diagnosis;N/A;;FALSE;ICD10-BD;O31.1;;SAME-AS;;;;;;;
;Continuing pregnancy after intrauterine death of one fetus or more;;;;Diagnosis;N/A;;FALSE;ICD10-BD;O31.2;;SAME-AS;;;;;;;
;Other complications specific to multiple gestation;;;;Diagnosis;N/A;;FALSE;ICD10-BD;O31.8;;SAME-AS;;;;;;;
;Maternal care for known or suspected malpresentation of fetus;;;;Diagnosis;N/A;;FALSE;ICD10-BD;O32;;SAME-AS;;;;;;;
;Maternal care for unstable lie;;;;Diagnosis;N/A;;FALSE;ICD10-BD;O32.0;;SAME-AS;;;;;;;
;Maternal care for breech presentation;;;;Diagnosis;N/A;;FALSE;ICD10-BD;O32.1;;SAME-AS;;;;;;;
;Maternal care for transverse and oblique lie;;;;Diagnosis;N/A;;FALSE;ICD10-BD;O32.2;;SAME-AS;;;;;;;
;Maternal care for face, brow, and chin presentation;;;;Diagnosis;N/A;;FALSE;ICD10-BD;O32.3;;SAME-AS;;;;;;;
;Maternal care for high head at term;;;;Diagnosis;N/A;;FALSE;ICD10-BD;O32.4;;SAME-AS;;;;;;;
;Maternal care for multiple gestation with malpresentation of one fetus or more;;;;Diagnosis;N/A;;FALSE;ICD10-BD;O32.5;;SAME-AS;;;;;;;
;Maternal care for compound presentation;;;;Diagnosis;N/A;;FALSE;ICD10-BD;O32.6;;SAME-AS;;;;;;;
;Maternal care for other malpresentation of fetus;;;;Diagnosis;N/A;;FALSE;ICD10-BD;O32.8;;SAME-AS;;;;;;;
;Maternal care for malpresentation of fetus, unspecified;;;;Diagnosis;N/A;;FALSE;ICD10-BD;O32.9;;SAME-AS;;;;;;;
;Maternal care for known or suspected disproportion;;;;Diagnosis;N/A;;FALSE;ICD10-BD;O33;;SAME-AS;;;;;;;
;Maternal care for disproportion due to deformity of maternal pelvic bones;;;;Diagnosis;N/A;;FALSE;ICD10-BD;O33.0;;SAME-AS;;;;;;;
;Maternal care for disproportion due to generally contracted pelvis;;;;Diagnosis;N/A;;FALSE;ICD10-BD;O33.1;;SAME-AS;;;;;;;
;Maternal care for disproportion due to inlet contraction of pelvis;;;;Diagnosis;N/A;;FALSE;ICD10-BD;O33.2;;SAME-AS;;;;;;;
;Maternal care for disproportion due to outlet contraction of pelvis;;;;Diagnosis;N/A;;FALSE;ICD10-BD;O33.3;;SAME-AS;;;;;;;
;Maternal care for disproportion of mixed maternal and fetal origin;;;;Diagnosis;N/A;;FALSE;ICD10-BD;O33.4;;SAME-AS;;;;;;;
;Maternal care for disproportion due to unusually large fetus;;;;Diagnosis;N/A;;FALSE;ICD10-BD;O33.5;;SAME-AS;;;;;;;
;Maternal care for disproportion due to hydrocephalic fetus;;;;Diagnosis;N/A;;FALSE;ICD10-BD;O33.6;;SAME-AS;;;;;;;
;Maternal care for disproportion due to other fetal deformities;;;;Diagnosis;N/A;;FALSE;ICD10-BD;O33.7;;SAME-AS;;;;;;;
;Maternal care for disproportion of other origin;;;;Diagnosis;N/A;;FALSE;ICD10-BD;O33.8;;SAME-AS;;;;;;;
;Maternal care for disproportion, unspecified;;;;Diagnosis;N/A;;FALSE;ICD10-BD;O33.9;;SAME-AS;;;;;;;
